Reaction abbreviation,Reaction name,Reaction formula,Pathway,Lower bound (mmol/gdw/hr),Upper bound (mmol/gdw/hr),Gene-reaction-association,Conifdence score,Eco IDA,sbo Term,EC number,Notes,Reference,,
'RTOT5','R total flux','R5coa_hs[c]  => Rtotalcoa[c] ','R group synthesis',0,1000,'','0','3A0000000',176,'',"'User defined, tissue specific fluxes that can be customized w/ various ratios of R1 through R5 NJ'",'',,
'RTOT6','R total flux','R6coa_hs[c]  => Rtotalcoa[c] ','R group synthesis',0,1000,'','0','3A0000000',176,'',"'User defined, tissue specific fluxes that can be customized w/ various ratios of R1 through R6 NJ'",'',,
'RTOTAL2CRNCPT1','carnitine fatty-acyl transferase','crn[c] + Rtotal2coa[c]  => coa[c] + Rtotal2crn[c] ','Fatty acid oxidation',0,1000,'','4','3A0000000',176,'2.3.1.21','NJ','PMID:1988962',,
'RTOTAL2CRNCPT2','R group transport into the mitochondria','coa[m] + Rtotal2crn[m]  => crn[m] + Rtotal2coa[m] ','Fatty acid oxidation',0,1000,'(1375.1) or (1375.4) or (1375.3) or (1374.1) or (126129.1) or (1375.2)','4','3A0000000',176,'','NJ',"'PMID:11274214,PMID:1528846,PMID:1988962'",,
'RTOTAL2CRNt','R group transport into the mitochondria','Rtotal2crn[c]  => Rtotal2crn[m] ','Fatty acid oxidation',0,1000,'(1376.1)','4','3A0000000',185,'','NJ','PMID:14598172',,
'RTOTAL2t','RTOTAL2 transport','Rtotal2[e]  <=> Rtotal2[c] ',"'Transport, extracellular'",-1000,1000,'(788.1)','2','3A0000000',185,'','','PMID:14598172',,
'RTOTAL3CRNCPT1','carnitine fatty-acyl transferase','crn[c] + Rtotal3coa[c]  => coa[c] + Rtotal3crn[c] ','Fatty acid oxidation',0,1000,'','4','3A0000000',176,'2.3.1.21','NJ','PMID:1988962',,
'RTOTAL3CRNCPT2','R group transport into the mitochondria','coa[m] + Rtotal3crn[m]  => crn[m] + Rtotal3coa[m] ','Fatty acid oxidation',0,1000,'(1375.1) or (1375.4) or (1375.1) or (1374.1) or (126129.1) or (1375.2)','4','3A0000000',176,'','NJ',"'PMID:11274214,PMID:1528846,PMID:1988962'",,
'RTOTAL3CRNt','R group transport into the mitochondria','Rtotal3crn[c]  => Rtotal3crn[m] ','Fatty acid oxidation',0,1000,'(1376.1)','4','3A0000000',185,'','NJ','PMID:14598172',,
'RTOTAL3t','RTOTAL3 transport','Rtotal3[e]  <=> Rtotal3[c] ',"'Transport, extracellular'",-1000,1000,'(788.1)','2','3A0000000',185,'','','PMID:14598172',,
'RTOTALCRNCPT1','carnitine fatty-acyl transferase','crn[c] + Rtotalcoa[c]  => coa[c] + Rtotalcrn[c] ','Fatty acid oxidation',0,1000,'','4','3A0000000',176,'2.3.1.21','NJ','PMID:1988962',,
'RTOTALCRNCPT2','R group transport into the mitochondria','coa[m] + Rtotalcrn[m]  => crn[m] + Rtotalcoa[m] ','Fatty acid oxidation',0,1000,'(1375.1) or (1375.4) or (1375.3) or (1374.1) or (126129.1) or (1375.2)','4','3A0000000',176,'','NJ',"'PMID:11274214,PMID:1528846,PMID:1988962'",,
'RTOTALCRNt','R group transport into the mitochondria','Rtotalcrn[c]  => Rtotalcrn[m] ','Fatty acid oxidation',0,1000,'(1376.1)','4','3A0000000',185,'','NJ','PMID:14598172',,
'RTOTALt','RTOTAL transport','Rtotal[e]  <=> Rtotal[c] ',"'Transport, extracellular'",-1000,1000,'(788.1)','2','3A0000000',185,'','','PMID:14598172',,
'Rtotaltl','fatty acid intracellular transport','Rtotal[c]  <=> Rtotal[l] ',"'Transport, lysosomal'",-1000,1000,'','1','3A0000000',185,'',"'unknown mechanism for transport - carnitine transporters not found, unknown mechanism intracellularly, however there must be a mechanism for FA transport NJ'",'',,
'Rtotaltp','fatty acid intracellular transport','Rtotal[c]  <=> Rtotal[x] ',"'Transport, peroxisomal'",-1000,1000,'','1','3A0000000',185,'',"'unknown mechanism for transport - carnitine transporter for malonyl CoA found in peroxisome, however transport of other, longer chain FA not yet discovered (PMID: 15590999)'",'',,
'S23T2g',"'beta-galactoside alpha-2,3-sialyltransferase (core 2)'",'core2[g] + cmpacna[g]  => h[g] + cmp[g] + ksii_core2_pre1[g] ','Keratan sulfate synthesis',0,1000,'','4','3A0000000',176,'2.4.99.4','NCD',"'PMID:10504389,PMID:7901202,PMID:8027041,PMID:8288606,PMID:8920913'",,
'S23T3g',"'beta-galactoside alpha-2,3-sialyltransferase (complex N-glycan)'",'cmpacna[g] + l2fn2m2masn[g]  => h[g] + ksi_pre1[g] + cmp[g] ','Keratan sulfate synthesis',0,1000,'(6484.1) or (6482.1) or (6483.1) or (6482.2)','4','3A0000000',176,'2.4.99.6','NCD','PMID:8333853',,
'S23T4g',"'beta-galactoside alpha-2,3-sialyltransferase'",'cmpacna[g] + ksii_core4_pre1[g]  => h[g] + ksii_core4_pre2[g] + cmp[g] ','Keratan sulfate synthesis',0,1000,'(6487.4) or (6487.9) or (6487.11) or (6487.6) or (6487.7) or (6487.10) or (6487.5) or (6487.1) or (6487.2) or (6487.8) or (6487.3)','4','3A0000000',176,'2.4.99.4','NCD',"'PMID:10504389,PMID:7901202,PMID:8027041,PMID:8288606,PMID:8920913'",,
'S23Tg',"'beta-galactoside alpha-2,3-sialyltransferase (T antigen)'",'T_antigen[g] + cmpacna[g]  => h[g] + cmp[g] + sT_antigen[g] ','O-glycan synthesis',0,1000,'(6484.1) or (6482.1) or (6483.1) or (6482.2)','4','3A0000269',176,'2.4.99.4','NCD',"'PMID:10504389,PMID:8027041'",,
'S26Tg',"'beta-galactoside alpha-2,6-sialyltransferase'",'2 cmpacna[g] + l2fn2m2masn[g]  => 2 h[g] + 2 cmp[g] + s2l2fn2m2masn[g] ','N-glycan synthesis',0,1000,'(6482.1) or (6482.2)','0','3A0000000',176,'2.4.99.1','NCD','PMID:8027041',,
'S2L2FN2M2MASNt',"'s2l2fn2m2masn transport, Golgi to extracellular'",'s2l2fn2m2masn[g]  => s2l2fn2m2masn[e] ',"'Transport, extracellular'",0,1000,'(6480.1) or (6480.3) or (6480.2)','1','3A0000000',185,'','NCD','',,
'S2L2FN2M2MASNtly',"'s2l2fn2m2masn transport, extracellular to lysosome'",'s2l2fn2m2masn[e]  => s2l2fn2m2masn[l] ',"'Transport, lysosomal'",0,1000,'','1','3A0000000',185,'','NCD','',,
'S2L2N2M2MASNtly',"'s2l2n2m2masn transport, extracellular to lysosome'",'s2l2n2m2masn[e]  => s2l2n2m2masn[l] ',"'Transport, lysosomal'",0,1000,'','1','3A0000000',185,'','NCD','',,
'S2T1g',"'chondroitin 2-sulfotransferase, Golgi'",'paps[g] + cs_c_d_e_pre1[g]  => h[g] + pap[g] + cs_d_pre2[g] ','Chondroitin synthesis',0,1000,'','4','3A0000000',176,'','EC 2.8.2- NCD',"'PMID:10187838,PMID:12512856'",,
'S2T2g',"'chondroitin 2-sulfotransferase, Golgi'",'paps[g] + cs_d_pre5[g]  => h[g] + cspg_d[g] + pap[g] ','Chondroitin synthesis',0,1000,'(10090.1)','4','3A0000000',176,'','EC 2.8.2- NCD',"'PMID:10187838,PMID:12512856'",,
'S2T3g',"'uronyl 2-sulfotransferase, Golgi'",'paps[g] + cs_b_pre5[g]  => h[g] + cspg_b[g] + pap[g] ','Chondroitin synthesis',0,1000,'(10090.1)','4','3A0000000',176,'','EC 2.8.2- NCD',"'PMID:10187838,PMID:12512856'",,
'S2T4g',"'uronyl 2-sulfotransferase, Golgi'",'2 paps[g] + hs_pre11[g]  => 2 h[g] + 2 pap[g] + hs_pre12[g] ','Chondroitin synthesis',0,1000,'(10090.1)','4','3A0000000',176,'','EC 2.8.2- NCD',"'PMID:10187838,PMID:10677367,PMID:12512855,PMID:9455484'",,
'S2TASE1ly',"'iduronate-2-sulfatase, lysosomal'",'h2o[l] + hs_deg15[l]  => h[l] + so4[l] + hs_deg16[l] ','Heparan sulfate degradation',0,1000,'(9653.1)','4','3A0000000',176,'3.1.6.13','NCD',"'PMID:2122463,PMID:8244397,PMID:8530090,PMID:8993162'",,
'S2TASE2ly',"'iduronate-2-sulfatase, lysosomal'",'h2o[l] + hs_deg21[l]  => h[l] + so4[l] + hs_deg22[l] ','Heparan sulfate degradation',0,1000,'(3423.1) or (3423.2)','4','3A0000000',176,'3.1.6.13','NCD',"'PMID:2122463,PMID:8244397,PMID:8530090,PMID:8993162'",,
'S2TASE3ly',"'iduronate-2-sulfatase, lysosomal'",'h2o[l] + cs_b_deg2[l]  => h[l] + so4[l] + cs_b_deg3[l] ','Chondroitin sulfate degradation',0,1000,'(3423.1) or (3423.2)','4','3A0000000',176,'3.1.6.13','NCD',"'PMID:2122463,PMID:8244397,PMID:8530090,PMID:8993162'",,
'S2TASE4ly',"'glucuronate-2-sulfatase, lysosomal'",'h2o[l] + cs_d_deg2[l]  => h[l] + so4[l] + cs_d_deg3[l] ','Chondroitin sulfate degradation',0,1000,'(3423.2) or (3423.1)','4','3A0000000',176,'3.1.6.18','NCD',"'PMID:2497731,PMID:4019466,PMID:8993162'",,
'S2TASE5ly',"'glucuronate-2-sulfatase, lysosomal'",'h2o[l] + cs_d_deg6[l]  => h[l] + so4[l] + cs_c_deg5[l] ','Chondroitin sulfate degradation',0,1000,'','4','3A0000000',176,'3.1.6.18','NCD',"'PMID:2497731,PMID:4019466,PMID:8993162'",,
'S3T1g','heparin-glucosamine 3-O-sulfotransferase','paps[g] + hs_pre13[g]  => h[g] + pap[g] + hs_pre14[g] ','Chondroitin synthesis',0,1000,'','4','3A0000000',176,'2.8.2.23','NCD',"'PMID:12138164,PMID:12512855,PMID:12740361,PMID:9346953,PMID:9988767'",,
'S3T2g','heparin-glucosamine 3-O-sulfotransferase','paps[g] + hs_pre14[g]  => h[g] + pap[g] + hs_pre15[g] ','Chondroitin synthesis',0,1000,'(9957.1) or (9951.1) or (222537.1)','4','3A0000000',176,'2.8.2.23','NCD',"'PMID:12138164,PMID:12512855,PMID:12740361,PMID:9988767,PMID:9988768'",,
'S3T3g','heparin-glucosamine 3-O-sulfotransferase','paps[g] + hs_pre15[g]  => h[g] + pap[g] + hspg[g] ','Chondroitin synthesis',0,1000,'(9956.1) or (9951.1) or (222537.1)','4','3A0000000',176,'2.8.2.23','NCD',"'PMID:10608887,PMID:12512855,PMID:15303968,PMID:9346953,PMID:9988768'",,
'S3TASE1ly',"'N-acetylglucosamine-3-sulfatase, lysosomal'",'h2o[l] + hs_deg10[l]  <=> h[l] + so4[l] + hs_deg11[l] ','Heparan sulfate degradation',-1000,1000,'(9951.1) or (9955.1) or (9953.1) or (64711.1)','4','3A0000000',176,'3.1.6.15','NCD',"'PMID:7396957,PMID:8993162'",,
'S3TASE2ly',"'N-acetylglucosamine-3-sulfatase, lysosomal'",'h2o[l] + hs_deg17[l]  <=> h[l] + so4[l] + hs_deg18[l] ','Heparan sulfate degradation',-1000,1000,'','4','3A0000000',176,'3.1.6.15','NCD',"'PMID:7396957,PMID:8993162'",,
'S3TASE3ly',"'N-acetylglucosamine-3-sulfatase, lysosomal'",'h2o[l] + hs_deg23[l]  <=> h[l] + so4[l] + hs_deg24[l] ','Heparan sulfate degradation',-1000,1000,'','2','3A0000000',176,'3.1.6.15','NCD',"'PMID:7396957,PMID:8993162'",,
'S4T1g',"'chondroitin 4-sulfotransferase, Golgi apparatus'",'2 paps[g] + cs_pre[g]  => 2 h[g] + 2 pap[g] + cs_a_b_e_pre1[g] ','Chondroitin synthesis',0,1000,'','4','3A0000000',176,'2.8.2.5','NCD',"'PMID:10722746,PMID:10781601,PMID:11056388,PMID:1147079,PMID:12080076,PMID:12512856,PMID:12847091'",,
'S4T2g',"'chondroitin 4-sulfotransferase, Golgi apparatus'",'paps[g] + cs_a_b_pre3[g]  => h[g] + cspg_a[g] + pap[g] ','Chondroitin synthesis',0,1000,'(113189.1) or (50515.1) or (166012.1) or (55501.1)','4','3A0000000',176,'2.8.2.5','NCD',"'PMID:10722746,PMID:10781601,PMID:11056388,PMID:1147079,PMID:12080076,PMID:12512856,PMID:12847091'",,
'S4T3g',"'chondroitin 4-sulfotransferase, Golgi apparatus'",'paps[g] + cs_e_pre4[g]  => h[g] + pap[g] + cs_e_pre5a[g] ','Chondroitin synthesis',0,1000,'(113189.1) or (50515.1) or (166012.1) or (55501.1)','4','3A0000000',176,'2.8.2.5','NCD',"'PMID:10722746,PMID:10781601,PMID:11056388,PMID:1147079,PMID:12080076,PMID:12512856,PMID:12847091'",,
'S4T4g',"'chondroitin 4-sulfotransferase, Golgi apparatus'",'2 paps[g] + cs_c_d_e_pre1[g]  => 2 h[g] + 2 pap[g] + cs_e_pre2[g] ','Chondroitin synthesis',0,1000,'(113189.1) or (50515.1) or (166012.1) or (55501.1)','2','3A0000000',176,'2.8.2.5','NCD',"'PMID:10781601,PMID:12512856'",,
'S4T5g',"'chondroitin 4-sulfotransferase, Golgi apparatus'",'paps[g] + cs_e_pre5b[g]  => h[g] + cspg_e[g] + pap[g] ','Chondroitin synthesis',0,1000,'','2','3A0000000',176,'2.8.2.5','NCD',"'PMID:10781601,PMID:12512856'",,
'S4T6g',"'chondroitin 4-sulfotransferase, Golgi apparatus'",'paps[g] + cs_b_pre4[g]  => h[g] + pap[g] + cs_b_pre5[g] ','Chondroitin synthesis',0,1000,'','4','3A0000000',176,'2.8.2.5','NCD',"'PMID:10722746,PMID:10781601,PMID:11056388,PMID:1147079,PMID:12080076,PMID:12512856,PMID:12847091'",,
'S4TASE1ly',"'N-acetylgalactosamine-4-sulfatase, lysosomal'",'h2o[l] + cs_a[l]  <=> h[l] + so4[l] + cs_a_deg1[l] ','Chondroitin sulfate degradation',-1000,1000,'(166012.1) or (113189.1) or (50515.1) or (55501.1)','4','3A0000000',176,'3.1.6.12','NCD',"'PMID:1968043,PMID:2303452'",,
'S4TASE2ly',"'N-acetylgalactosamine-4-sulfatase, lysosomal'",'h2o[l] + cs_a_deg3[l]  <=> h[l] + so4[l] + cs_a_deg4[l] ','Chondroitin sulfate degradation',-1000,1000,'(411.2) or (411.1)','4','3A0000000',176,'3.1.6.12','NCD',"'PMID:1968043,PMID:2303452'",,
'S4TASE3ly',"'N-acetylgalactosamine-4-sulfatase, lysosomal'",'h2o[l] + cs_b[l]  <=> h[l] + so4[l] + cs_b_deg1[l] ','Chondroitin sulfate degradation',-1000,1000,'(411.2) or (411.1)','4','3A0000000',176,'3.1.6.12','NCD',"'PMID:1968043,PMID:2303452'",,
'S4TASE4ly',"'N-acetylgalactosamine-4-sulfatase, lysosomal'",'h2o[l] + cs_e[l]  <=> h[l] + so4[l] + cs_e_deg1[l] ','Chondroitin sulfate degradation',-1000,1000,'(411.1) or (411.2)','4','3A0000000',176,'3.1.6.12','NCD',"'PMID:1968043,PMID:2303452'",,
'S4TASE5ly',"'N-acetylgalactosamine-4-sulfatase, lysosomal'",'h2o[l] + cs_e_deg4[l]  <=> h[l] + so4[l] + cs_e_deg5[l] ','Chondroitin sulfate degradation',-1000,1000,'(411.1) or (411.2)','4','3A0000000',176,'3.1.6.12','NCD',"'PMID:1968043,PMID:2303452'",,
'S6T10g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksi_pre22[g] + paps[g]  => h[g] + ksi_pre23[g] + pap[g] ','Keratan sulfate synthesis',0,1000,'(411.1) or (411.2)','4','3A0000000',176,'','NCD',"'PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682'",,
'S6T11g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksi_pre25[g] + paps[g]  => h[g] + ksi_pre26[g] + pap[g] ','Keratan sulfate synthesis',0,1000,'(23563.2) or (9435.1) or (23563.1) or (10164.1) or (4166.1)','4','3A0000000',176,'','NCD',"'PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682'",,
'S6T12g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksi_pre28[g] + paps[g]  => h[g] + ksi_pre29[g] + pap[g] ','Keratan sulfate synthesis',0,1000,'(23563.2) or (9435.1) or (23563.1) or (10164.1) or (4166.1)','4','3A0000000',176,'','NCD',"'PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682'",,
'S6T13g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksi_pre31[g] + paps[g]  => h[g] + ksi_pre32[g] + pap[g] ','Keratan sulfate synthesis',0,1000,'(23563.1) or (9435.1) or (10164.1) or (4166.1) or (23563.2)','4','3A0000000',176,'','NCD',"'PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682'",,
'S6T14g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksi_pre34[g] + paps[g]  => h[g] + ksi_pre35[g] + pap[g] ','Keratan sulfate synthesis',0,1000,'(4166.1) or (10164.1) or (23563.2) or (23563.1) or (9435.1)','4','3A0000000',176,'','NCD',"'PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682'",,
'S6T15g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksi_pre36[g] + paps[g]  => h[g] + pap[g] + ksi[g] ','Keratan sulfate synthesis',0,1000,'(23563.2) or (9435.1) or (23563.1) or (10164.1) or (4166.1)','4','3A0000000',176,'','NCD',"'PMID:12403612,PMID:8991509,PMID:9405439,PMID:9714738'",,
'S6T16g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksii_core4_pre5[g] + paps[g]  => h[g] + ksii_core4_pre6[g] + pap[g] ','Keratan sulfate synthesis',0,1000,'(8534.1) or (9469.1)','4','3A0000000',176,'','NCD',"'PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682'",,
'S6T17g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksii_core4_pre8[g] + paps[g]  => h[g] + ksii_core4_pre9[g] + pap[g] ','Keratan sulfate synthesis',0,1000,'(23563.2) or (9435.1) or (23563.1) or (10164.1) or (4166.1)','4','3A0000000',176,'','NCD',"'PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682'",,
'S6T18g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksii_core4_pre10[g] + paps[g]  => h[g] + pap[g] + ksii_core4[g] ','Keratan sulfate synthesis',0,1000,'(23563.2) or (9435.1) or (23563.1) or (10164.1) or (4166.1)','4','3A0000000',176,'','NCD',"'PMID:12403612,PMID:8991509,PMID:9405439,PMID:9714738'",,
'S6T19g',"'chondroitin 6-sulfotransferase, Golgi apparatus'",'2 paps[g] + cs_pre[g]  => 2 h[g] + 2 pap[g] + cs_c_d_e_pre1[g] ','Chondroitin synthesis',0,1000,'(8534.1) or (9469.1)','4','3A0000000',176,'2.8.2.17','NCD',"'PMID:10781596,PMID:10913333,PMID:10956661,PMID:12512856,PMID:8991509,PMID:9714738,PMID:9883891'",,
'S6T1g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksii_core2_pre5[g] + paps[g]  => h[g] + ksii_core2_pre6[g] + pap[g] ','Keratan sulfate synthesis',0,1000,'(9469.1) or (56548.1)','4','3A0000000',176,'','NCD',"'PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682'",,
'S6T20g',"'chondroitin 6-sulfotransferase, Golgi apparatus'",'paps[g] + cs_c_pre3[g]  => h[g] + cspg_c[g] + pap[g] ','Chondroitin synthesis',0,1000,'(23563.2) or (9435.1) or (23563.1) or (10164.1) or (4166.1)','4','3A0000000',176,'2.8.2.17','NCD',"'PMID:10781596,PMID:10913333,PMID:10956661,PMID:12512856,PMID:8991509,PMID:9714738,PMID:9883891'",,
'S6T21g',"'chondroitin 6-sulfotransferase, Golgi apparatus'",'paps[g] + cs_d_pre4[g]  => h[g] + pap[g] + cs_d_pre5[g] ','Chondroitin synthesis',0,1000,'(9469.1) or (56548.1)','4','3A0000000',176,'2.8.2.17','NCD',"'PMID:10781596,PMID:10913333,PMID:10956661,PMID:12512856,PMID:8991509,PMID:9714738,PMID:9883891'",,
'S6T22g',"'chondroitin 6-sulfotransferase, Golgi apparatus'",'2 paps[g] + cs_a_b_e_pre1[g]  => 2 h[g] + 2 pap[g] + cs_e_pre2[g] ','Chondroitin synthesis',0,1000,'(9469.1) or (56548.1)','4','3A0000000',176,'2.8.2.17','NCD',"'PMID:10781596,PMID:10913333,PMID:10956661,PMID:12512856,PMID:9883891'",,
'S6T23g',"'chondroitin 6-sulfotransferase, Golgi apparatus'",'paps[g] + cs_e_pre5a[g]  => h[g] + cspg_e[g] + pap[g] ','Chondroitin synthesis',0,1000,'(56548.1)','4','3A0000000',176,'2.8.2.17','NCD',"'PMID:10781596,PMID:10913333,PMID:10956661,PMID:12512856,PMID:9883891'",,
'S6T24g',"'chondroitin 6-sulfotransferase, Golgi apparatus'",'paps[g] + cs_e_pre4[g]  => h[g] + pap[g] + cs_e_pre5b[g] ','Chondroitin synthesis',0,1000,'(56548.1)','4','3A0000000',176,'2.8.2.17','NCD',"'PMID:10781596,PMID:10913333,PMID:10956661,PMID:12512856,PMID:8991509,PMID:9714738,PMID:9883891'",,
'S6T25g',"'heparan sulfate 6-sulfotransferase, Golgi apparatus'",'3 paps[g] + hs_pre12[g]  => 3 h[g] + 3 pap[g] + hs_pre13[g] ','Chondroitin synthesis',0,1000,'(9469.1) or (56548.1)','4','3A0000000',176,'','EC 2.8.2.- NCD',"'PMID:12492399,PMID:12512855,PMID:14702039,PMID:9535912'",,
'S6T2g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksii_core2_pre8[g] + paps[g]  => h[g] + ksii_core2_pre9[g] + pap[g] ','Keratan sulfate synthesis',0,1000,'(266722.1) or (9394.1) or (90161.2) or (90161.1)','4','3A0000000',176,'','NCD',"'PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682'",,
'S6T3g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksii_core2_pre10[g] + paps[g]  => h[g] + pap[g] + ksii_core2[g] ','Keratan sulfate synthesis',0,1000,'(23563.2) or (9435.1) or (23563.1) or (10164.1) or (4166.1)','4','3A0000000',176,'','NCD',"'PMID:12403612,PMID:8991509,PMID:9405439,PMID:9714738'",,
'S6T4g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksi_pre4[g] + paps[g]  => h[g] + ksi_pre5[g] + pap[g] ','Keratan sulfate synthesis',0,1000,'(8534.1) or (9469.1)','4','3A0000000',176,'','NCD',"'PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682'",,
'S6T5g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksi_pre7[g] + paps[g]  => h[g] + ksi_pre8[g] + pap[g] ','Keratan sulfate synthesis',0,1000,'(23563.2) or (9435.1) or (23563.1) or (10164.1) or (4166.1)','4','3A0000000',176,'','NCD',"'PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682'",,
'S6T6g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksi_pre10[g] + paps[g]  => h[g] + ksi_pre11[g] + pap[g] ','Keratan sulfate synthesis',0,1000,'(23563.2) or (9435.1) or (23563.1) or (10164.1) or (4166.1)','4','3A0000000',176,'','NCD',"'PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682'",,
'S6T7g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksi_pre13[g] + paps[g]  => h[g] + ksi_pre14[g] + pap[g] ','Keratan sulfate synthesis',0,1000,'(23563.2) or (9435.1) or (23563.1) or (10164.1) or (4166.1)','4','3A0000000',176,'','NCD',"'PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682'",,
'S6T8g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksi_pre16[g] + paps[g]  => h[g] + ksi_pre17[g] + pap[g] ','Keratan sulfate synthesis',0,1000,'(23563.2) or (9435.1) or (23563.1) or (10164.1) or (4166.1)','4','3A0000000',176,'','NCD',"'PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682'",,
'S6T9g',"'galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus'",'ksi_pre19[g] + paps[g]  => h[g] + ksi_pre20[g] + pap[g] ','Keratan sulfate synthesis',0,1000,'(23563.2) or (9435.1) or (23563.1) or (10164.1) or (4166.1)','4','3A0000000',176,'','NCD',"'PMID:10330415,PMID:10491328,PMID:10913333,PMID:11278593,PMID:12403612,PMID:12855678,PMID:9722682'",,
'S6TASE10ly',"'galactose-6-sulfate sulfatase, lysosomal'",'h2o[l] + ksi_deg4[l]  <=> h[l] + so4[l] + ksi_deg5[l] ','Keratan sulfate degradation',-1000,1000,'(23563.2) or (9435.1) or (23563.1) or (10164.1) or (4166.1)','4','3A0000000',176,'3.1.6.4','NCD',"'PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950'",,
'S6TASE11ly',"'N-acetylglucosamine-6-sulfatase, lysosomal'",'h2o[l] + ksi_deg6[l]  <=> h[l] + so4[l] + ksi_deg7[l] ','Keratan sulfate degradation',-1000,1000,'(5476.1) and (2720.1) and (2588.1) and (4758.1)','4','3A0000000',176,'3.1.6.14','NCD',"'PMID:3196333,PMID:3689314,PMID:3689315'",,
'S6TASE12ly',"'N-acetylglucosamine-6-sulfatase, lysosomal'",'h2o[l] + ksi_deg9[l]  <=> h[l] + so4[l] + ksi_deg10[l] ','Keratan sulfate degradation',-1000,1000,'(2799.1)','4','3A0000000',176,'3.1.6.14','NCD',"'PMID:3196333,PMID:3689314,PMID:3689315'",,
'S6TASE13ly',"'N-acetylglucosamine-6-sulfatase, lysosomal'",'h2o[l] + ksi_deg12[l]  <=> h[l] + so4[l] + ksi_deg13[l] ','Keratan sulfate degradation',-1000,1000,'(2799.1)','4','3A0000000',176,'3.1.6.14','NCD',"'PMID:3196333,PMID:3689314,PMID:3689315'",,
'S6TASE14ly',"'N-acetylglucosamine-6-sulfatase, lysosomal'",'h2o[l] + ksi_deg15[l]  <=> h[l] + so4[l] + ksi_deg16[l] ','Keratan sulfate degradation',-1000,1000,'(2799.1)','4','3A0000000',176,'3.1.6.14','NCD',"'PMID:3196333,PMID:3689314,PMID:3689315'",,
'S6TASE15ly',"'N-acetylglucosamine-6-sulfatase, lysosomal'",'h2o[l] + ksi_deg18[l]  <=> h[l] + so4[l] + ksi_deg19[l] ','Keratan sulfate degradation',-1000,1000,'(2799.1)','4','3A0000000',176,'3.1.6.14','NCD',"'PMID:3196333,PMID:3689314,PMID:3689315'",,
